Supplier,SKU,Product,Department,Type,Supplier price (net),Our price (net x 3.15),Margin $,From price?,Photo URL
A-Class,2935,2935 — Sofa,Living Room,Sofas,540.00,1701.00,1161.00,No,https://www.aclassfurniture.ca/uploads/product_images/see23.jpg
A-Class,2950,2950,Living Room,Sofas,640.00,2016.00,1376.00,Yes,https://demo-oasis-six.vercel.app/assets/cutouts/73b609c487d3411b.webp
A-Class,2950,2950 — 3-Pc Set,Living Room,Sofas,1600.00,5040.00,3440.00,No,https://demo-oasis-six.vercel.app/assets/cutouts/73b609c487d3411b.webp
A-Class,2950,2950 — Sofa,Living Room,Sofas,640.00,2016.00,1376.00,No,https://demo-oasis-six.vercel.app/assets/cutouts/73b609c487d3411b.webp
A-Class,3120,3120,Living Room,Sofas,520.00,1638.00,1118.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/SOFA_14A.jpg
A-Class,3120,3120 — 3-Pc Set,Living Room,Sofas,1300.00,4095.00,2795.00,No,https://www.aclassfurniture.ca/uploads/product_images/SOFA_14A.jpg
A-Class,3120,3120 — Sofa,Living Room,Sofas,520.00,1638.00,1118.00,No,https://www.aclassfurniture.ca/uploads/product_images/SOFA_14A.jpg
A-Class,3130,3130,Living Room,Sofas,520.00,1638.00,1118.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/soo14.jpg
A-Class,3130,3130 — 3-Pc Set,Living Room,Sofas,1300.00,4095.00,2795.00,No,https://www.aclassfurniture.ca/uploads/product_images/soo14.jpg
A-Class,3130,3130 — Sofa,Living Room,Sofas,520.00,1638.00,1118.00,No,https://www.aclassfurniture.ca/uploads/product_images/soo14.jpg
A-Class,3260,3260,Living Room,Sofas,520.00,1638.00,1118.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/3260.jpg
A-Class,3260,3260 — 3-Pc Set,Living Room,Sofas,1300.00,4095.00,2795.00,No,https://www.aclassfurniture.ca/uploads/product_images/3260.jpg
A-Class,3260,3260 — Sofa,Living Room,Sofas,520.00,1638.00,1118.00,No,https://www.aclassfurniture.ca/uploads/product_images/3260.jpg
A-Class,3300,3300,Living Room,Sofas,400.00,1260.00,860.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/soo22.jpg
A-Class,3300,3300 — 3-Pc Set,Living Room,Sofas,1000.00,3150.00,2150.00,No,https://www.aclassfurniture.ca/uploads/product_images/soo22.jpg
A-Class,3300,3300 — Sofa,Living Room,Sofas,400.00,1260.00,860.00,No,https://www.aclassfurniture.ca/uploads/product_images/soo22.jpg
A-Class,3320,3320,Living Room,Sofas,400.00,1260.00,860.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/3320.jpg
A-Class,3320,3320 — 3-Pc Set,Living Room,Sofas,1000.00,3150.00,2150.00,No,https://www.aclassfurniture.ca/uploads/product_images/3320.jpg
A-Class,3320,3320 — Sofa,Living Room,Sofas,400.00,1260.00,860.00,No,https://www.aclassfurniture.ca/uploads/product_images/3320.jpg
A-Class,3335,3335,Living Room,Sectionals,400.00,1260.00,860.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/3335-B.jpg
A-Class,3335,3335 — 3-Pc Set,Living Room,Sofas,1000.00,3150.00,2150.00,No,https://www.aclassfurniture.ca/uploads/product_images/3335-B.jpg
A-Class,3335,3335 — Sofa,Living Room,Sofas,400.00,1260.00,860.00,No,https://www.aclassfurniture.ca/uploads/product_images/3335-B.jpg
A-Class,3370,3370,Living Room,Sofas,520.00,1638.00,1118.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/3370.jpg
A-Class,3370,3370 — 3-Pc Set,Living Room,Sofas,1300.00,4095.00,2795.00,No,https://www.aclassfurniture.ca/uploads/product_images/3370.jpg
A-Class,3370,3370 — Sofa,Living Room,Sofas,520.00,1638.00,1118.00,No,https://www.aclassfurniture.ca/uploads/product_images/3370.jpg
A-Class,3400,3400,Living Room,Sofas,520.00,1638.00,1118.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/3400_-A.jpg
A-Class,3400,3400 — 3-Pc Set,Living Room,Sofas,1300.00,4095.00,2795.00,No,https://www.aclassfurniture.ca/uploads/product_images/3400_-A.jpg
A-Class,3400,3400 — Sofa,Living Room,Sofas,520.00,1638.00,1118.00,No,https://www.aclassfurniture.ca/uploads/product_images/3400_-A.jpg
A-Class,3410,3410,Living Room,Sofas,520.00,1638.00,1118.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/3410a.jpg
A-Class,3410,3410 — 3-Pc Set,Living Room,Sofas,1300.00,4095.00,2795.00,No,https://www.aclassfurniture.ca/uploads/product_images/3410a.jpg
A-Class,3410,3410 — Sofa,Living Room,Sofas,520.00,1638.00,1118.00,No,https://www.aclassfurniture.ca/uploads/product_images/3410a.jpg
A-Class,401,401,Living Room,Chairs,370.00,1166.00,796.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/CHAIR_5A.jpg
A-Class,401,401 — Chair,Living Room,Chairs,370.00,1166.00,796.00,No,https://www.aclassfurniture.ca/uploads/product_images/CHAIR_5A.jpg
A-Class,405,405,Living Room,Chairs,450.00,1418.00,968.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/c12.jpg
A-Class,405,405 — Chair,Living Room,Chairs,450.00,1418.00,968.00,No,https://www.aclassfurniture.ca/uploads/product_images/c12.jpg
A-Class,407,407,Living Room,Chairs,450.00,1418.00,968.00,Yes,https://demo-oasis-six.vercel.app/assets/cutouts/e634475d143b203f.webp
A-Class,407,407 — Chair,Living Room,Chairs,450.00,1418.00,968.00,No,https://demo-oasis-six.vercel.app/assets/cutouts/e634475d143b203f.webp
A-Class,408,408,Living Room,Chairs,450.00,1418.00,968.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/408_c.jpg
A-Class,408,408 — Chair,Living Room,Chairs,450.00,1418.00,968.00,No,https://www.aclassfurniture.ca/uploads/product_images/408_c.jpg
A-Class,409,409,Living Room,Chairs,450.00,1418.00,968.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/cc23.jpg
A-Class,409,409 — Chair,Living Room,Chairs,450.00,1418.00,968.00,No,https://www.aclassfurniture.ca/uploads/product_images/cc23.jpg
A-Class,4100,4100,Living Room,Sofas,560.00,1764.00,1204.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/4100a.jpg
A-Class,4100,4100 — 3-Pc Set,Living Room,Sofas,1400.00,4410.00,3010.00,No,https://www.aclassfurniture.ca/uploads/product_images/4100a.jpg
A-Class,4100,4100 — Sofa,Living Room,Sofas,560.00,1764.00,1204.00,No,https://www.aclassfurniture.ca/uploads/product_images/4100a.jpg
A-Class,412,412,Living Room,Chairs,450.00,1418.00,968.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/cc24.jpg
A-Class,412,412 — Chair,Living Room,Chairs,450.00,1418.00,968.00,No,https://www.aclassfurniture.ca/uploads/product_images/cc24.jpg
A-Class,413,413,Living Room,Chairs,525.00,1654.00,1129.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/CHAIR_12A.jpg
A-Class,413,413 — Chair,Living Room,Chairs,525.00,1654.00,1129.00,No,https://www.aclassfurniture.ca/uploads/product_images/CHAIR_12A.jpg
A-Class,415,415,Living Room,Chairs,400.00,1260.00,860.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/cc14.jpg
A-Class,415,415 — Chair,Living Room,Chairs,400.00,1260.00,860.00,No,https://www.aclassfurniture.ca/uploads/product_images/cc14.jpg
A-Class,4210,4210,Living Room,Sofas,520.00,1638.00,1118.00,Yes,https://demo-oasis-six.vercel.app/assets/cutouts/e4673a9e19a6c2ce.webp
A-Class,4210,4210 — 3-Pc Set,Living Room,Sofas,1300.00,4095.00,2795.00,No,https://demo-oasis-six.vercel.app/assets/cutouts/e4673a9e19a6c2ce.webp
A-Class,4210,4210 — Sofa,Living Room,Sofas,520.00,1638.00,1118.00,No,https://demo-oasis-six.vercel.app/assets/cutouts/e4673a9e19a6c2ce.webp
